symbol,log2FC,FDR
SLC25A39,-0.013593666666666948,0.8524230303054801
MLEC,0.2810306666666662,0.10513290485649945
HADHA,-0.05319666666666656,0.14357540117562323
COTL1,0.16323333333333423,0.15720412166362444
DDX39B,0.056581333333333816,0.6871871130947435
DDX39B,-0.12744733333333436,0.31636187941350075
DDX39B,-0.019162333333333947,0.8240945972831062
DDX39B,0.2298019999999994,0.31750223699951796
DDX39B,0.2569786666666669,0.1409191733171837
PRPF8,0.5580209999999983,0.020564667594552437
IFNGR2,-0.3837416666666691,0.03967100900497748
LRP1,0.12450599999999934,0.31554832901085755
GPS1,0.22330166666666607,0.1401164163446087
IDH2,-0.15161600000000064,0.3030445166298653
IDH2,-0.08116000000000057,0.4650176032393338
RPLP1,0.07508333333333361,0.033358383925764644
RPLP1,-0.022886666666664723,0.5195786598993453
RPS14,-0.03542666666666605,0.44028356008409153
THY1,0.11414833333333396,0.6348153950090472
RPS8,-0.07715666666666543,0.17420713011693406
TMED10,-0.06590566666666575,0.30262948163722775
TMED10,-0.11517066666666587,0.5099666268116197
CBX1,-0.09219266666666748,0.3766450702968611
TMEM109,0.38759333333333146,0.07616592830341053
DAG1,0.15771266666666683,0.6755331425394789
DAG1,0.18864166666666637,0.12498819966621982
DAG1,0.6660219999999999,0.05462336404749629
GAS6,0.5143303333333336,0.017312760725345468
IMMT,0.18737933333333245,0.052896696991826336
IMMT,-0.224015999999998,0.08372963656407256
CYB5R3,0.6273416666666662,0.04909188324369414
CYB5R3,0.4328106666666667,0.035204277720505196
QSOX1,0.6153423333333325,0.01434281349154646
TMEM59,-0.31896400000000114,0.17746070620297044
YWHAQ,0.03300666666666707,0.7145413819306767
PGA3,0.39827499999999993,0.20020032455483616
SCD,1.058480666666667,0.029549044220747736
H1-10,0.129683,0.14872670959374582
COPZ1,0.07785233333333252,0.22622829742807746
COPZ1,-0.054654666666666074,0.30977482590135386
CD9,0.03957666666666704,0.8304068916682691
CD9,-0.22954000000000008,0.03418201637737525
CD9,-0.019009999999997973,0.7352235786908546
CLSTN1,0.6881666666666666,0.042460519841650377
PPM1G,0.1615940000000009,0.08309739808748742
RAC1,0.13792299999999802,0.37062276320460674
RAC1,0.4036126666666675,0.04656490382349081
RAC1,0.3198299999999996,0.058348358977703636
VKORC1,-0.27271333333333203,0.04627298359977817
TBCB,0.12143799999999949,0.23110776000929775
SF3B2,0.18486099999999972,0.10932573859149898
SF3B2,0.20673766666666715,0.06222639196567863
HLA-DPA1,0.15516299999999994,0.46036852582901894
CAV1,0.15183500000000016,0.20511225256982793
PMP22,0.05805800000000083,0.2769746496866596
MAPRE1,0.2108083333333326,0.0491786162419499
MAPRE1,0.030013333333334558,0.5668102838398738
MYL9,0.050511333333332686,0.6930711480410469
DYNC1H1,0.9967246666666671,0.06436960557070859
DYNC1H1,0.059583000000003494,0.7265578588286867
DYNC1H1,-0.205841333333332,0.20327902095610356
DYNC1H1,0.02307300000000012,0.8559399310188072
YWHAH,0.026566666666663963,0.44224832835157707
RBM38,0.3914886666666675,0.049442133417756225
PSMB7,-0.16723000000000177,0.018784473281377684
PSMB7,0.059810000000000585,0.42223644976562813
PSMB7,-0.12968333333333248,0.13720916856754353
TFG,-0.028114666666667176,0.8599019068686095
ANAPC5,-0.03319666666666876,0.3542541031696568
PPP1R11,-0.023115666666667423,0.37190321883517574
PPP1R11,-0.0363526666666667,0.8504881999141453
SPARC,0.07654000000000138,0.5604070064199207
SPARC,-0.04521999999999693,0.7055658985969043
SPARC,0.01631000000000249,0.7832313129187548
SF3B5,-0.45809999999999995,0.01378516891389223
PPIB,0.016636666666666855,0.7926906949138066
PPIB,-0.0003833333333318478,0.9940433444561554
ATP6V1H,0.2215790000000002,0.08006520690090306
ARPC1A,0.5071910000000006,0.026663530393108033
PLOD1,0.08504533333333164,0.4655874069993557
TMX2,-0.1364066666666659,0.21884886395600886
BTG2,0.45810133333333436,0.057879405880933994
BTG2,0.09780899999999981,0.551242208046276
