Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943)	1/34	2.188232e-02	6.347337e-02	0	0	5.038889e+01	1.925902e+02	SMARCA4
GO_Biological_Process_2023	Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389)	1/35	2.251918e-02	6.347337e-02	0	0	4.890441e+01	1.855134e+02	BRD4
GO_Biological_Process_2023	Response To Nutrient Levels (GO:0031667)	1/35	2.251918e-02	6.347337e-02	0	0	4.890441e+01	1.855134e+02	EIF4G1
GO_Biological_Process_2023	Receptor Signaling Pathway Via JAK-STAT (GO:0007259)	1/36	2.315565e-02	6.347337e-02	0	0	4.750476e+01	1.788800e+02	STAT2
GO_Biological_Process_2023	Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799)	1/36	2.315565e-02	6.347337e-02	0	0	4.750476e+01	1.788800e+02	EIF4G1
GO_Biological_Process_2023	Type I Interferon-Mediated Signaling Pathway (GO:0060337)	1/37	2.379174e-02	6.347337e-02	0	0	4.618287e+01	1.726508e+02	STAT2
GO_Biological_Process_2023	Positive Regulation Of Myoblast Differentiation (GO:0045663)	1/38	2.442745e-02	6.347337e-02	0	0	4.493243e+01	1.667913e+02	SMARCA4
GO_Biological_Process_2023	Cellular Response To Type I Interferon (GO:0071357)	1/38	2.442745e-02	6.347337e-02	0	0	4.493243e+01	1.667913e+02	STAT2
GO_Biological_Process_2023	Response To Peptide (GO:1901652)	1/38	2.442745e-02	6.347337e-02	0	0	4.493243e+01	1.667913e+02	STAT2
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Differentiation (GO:0045621)	1/39	2.506278e-02	6.347337e-02	0	0	4.374781e+01	1.612707e+02	SMARCA4
GO_Biological_Process_2023	Heterochromatin Organization (GO:0070828)	1/39	2.506278e-02	6.347337e-02	0	0	4.374781e+01	1.612707e+02	LMNA
GO_Biological_Process_2023	Vitamin Transport (GO:0051180)	1/39	2.506278e-02	6.347337e-02	0	0	4.374781e+01	1.612707e+02	SLC2A1
GO_Biological_Process_2023	Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197)	1/40	2.569772e-02	6.347337e-02	0	0	4.262393e+01	1.560613e+02	WDR1
GO_Biological_Process_2023	Water-Soluble Vitamin Metabolic Process (GO:0006767)	1/40	2.569772e-02	6.347337e-02	0	0	4.262393e+01	1.560613e+02	SLC2A1
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle G1/S Phase Transition (GO:1902808)	1/40	2.569772e-02	6.347337e-02	0	0	4.262393e+01	1.560613e+02	EIF4G1
GO_Biological_Process_2023	Positive Regulation Of Stem Cell Population Maintenance (GO:1902459)	1/40	2.569772e-02	6.347337e-02	0	0	4.262393e+01	1.560613e+02	SMARCA4
GO_Biological_Process_2023	Modulation By Host Of Symbiont Process (GO:0051851)	1/42	2.696647e-02	6.530115e-02	0	0	4.054065e+01	1.464799e+02	SMARCA4
GO_Biological_Process_2023	Lipid Modification (GO:0030258)	1/42	2.696647e-02	6.530115e-02	0	0	4.054065e+01	1.464799e+02	MBOAT7
GO_Biological_Process_2023	Positive Regulation Of miRNA Transcription (GO:1902895)	1/43	2.760027e-02	6.618705e-02	0	0	3.957341e+01	1.420658e+02	SMARCA4
GO_Biological_Process_2023	Nucleus Organization (GO:0006997)	1/44	2.823369e-02	6.705501e-02	0	0	3.865116e+01	1.378780e+02	LMNA
GO_Biological_Process_2023	Regulation Of Cellular Metabolic Process (GO:0031323)	1/45	2.886673e-02	6.726492e-02	0	0	3.777083e+01	1.339001e+02	MBOAT7
GO_Biological_Process_2023	Regulation Of Protein Modification Process (GO:0031399)	1/45	2.886673e-02	6.726492e-02	0	0	3.777083e+01	1.339001e+02	STAT2
GO_Biological_Process_2023	Myofibril Assembly (GO:0030239)	1/46	2.949938e-02	6.809671e-02	0	0	3.692963e+01	1.301173e+02	WDR1
GO_Biological_Process_2023	Regulation Of DNA-templated Transcription (GO:0006355)	4/1922	2.995948e-02	6.828000e-02	0	0	4.187000e+00	1.468762e+01	STAT2;NSD2;BRD4;SMARCA4
GO_Biological_Process_2023	Regulation Of T Cell Differentiation (GO:0045580)	1/47	3.013166e-02	6.828000e-02	0	0	3.612500e+01	1.265162e+02	SMARCA4
GO_Biological_Process_2023	Positive Regulation Of miRNA Metabolic Process (GO:2000630)	1/49	3.139508e-02	6.835824e-02	0	0	3.461632e+01	1.198107e+02	SMARCA4
GO_Biological_Process_2023	Interferon-Mediated Signaling Pathway (GO:0140888)	1/49	3.139508e-02	6.835824e-02	0	0	3.461632e+01	1.198107e+02	STAT2
GO_Biological_Process_2023	Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)	1/49	3.139508e-02	6.835824e-02	0	0	3.461632e+01	1.198107e+02	SMARCA4
GO_Biological_Process_2023	Regulation Of Mitochondrion Organization (GO:0010821)	1/50	3.202621e-02	6.835824e-02	0	0	3.390816e+01	1.166848e+02	STAT2
GO_Biological_Process_2023	Positive Regulation Of Cell Death (GO:0010942)	1/50	3.202621e-02	6.835824e-02	0	0	3.390816e+01	1.166848e+02	EIF4G1
GO_Biological_Process_2023	Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)	1/51	3.265697e-02	6.835824e-02	0	0	3.322833e+01	1.136973e+02	LMNA
GO_Biological_Process_2023	Regulation Of Synapse Assembly (GO:0051963)	1/51	3.265697e-02	6.835824e-02	0	0	3.322833e+01	1.136973e+02	EIF4G1
GO_Biological_Process_2023	Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)	1/51	3.265697e-02	6.835824e-02	0	0	3.322833e+01	1.136973e+02	ITGA3
GO_Biological_Process_2023	Positive Regulation Of Protein Localization To Plasma Membrane (GO:1903078)	1/51	3.265697e-02	6.835824e-02	0	0	3.322833e+01	1.136973e+02	ITGA3
GO_Biological_Process_2023	Negative Regulation Of Innate Immune Response (GO:0045824)	1/52	3.328735e-02	6.881533e-02	0	0	3.257516e+01	1.108395e+02	STAT2
GO_Biological_Process_2023	Glycoprotein Metabolic Process (GO:0009100)	1/53	3.391735e-02	6.881533e-02	0	0	3.194712e+01	1.081036e+02	GANAB
GO_Biological_Process_2023	Actin Polymerization Or Depolymerization (GO:0008154)	1/53	3.391735e-02	6.881533e-02	0	0	3.194712e+01	1.081036e+02	WDR1
GO_Biological_Process_2023	Regulation Of Lipid Metabolic Process (GO:0019216)	1/54	3.454697e-02	6.881533e-02	0	0	3.134277e+01	1.054821e+02	MBOAT7
GO_Biological_Process_2023	Apical Junction Assembly (GO:0043297)	1/54	3.454697e-02	6.881533e-02	0	0	3.134277e+01	1.054821e+02	WDR1
GO_Biological_Process_2023	Regulation Of Myoblast Differentiation (GO:0045661)	1/54	3.454697e-02	6.881533e-02	0	0	3.134277e+01	1.054821e+02	SMARCA4
GO_Biological_Process_2023	Phosphatidylcholine Metabolic Process (GO:0046470)	1/55	3.517621e-02	6.950819e-02	0	0	3.076080e+01	1.029683e+02	MBOAT7
GO_Biological_Process_2023	Regulation Of Stem Cell Population Maintenance (GO:2000036)	1/56	3.580507e-02	6.963664e-02	0	0	3.020000e+01	1.005559e+02	SMARCA4
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)	1/56	3.580507e-02	6.963664e-02	0	0	3.020000e+01	1.005559e+02	BRD4
GO_Biological_Process_2023	Regulation Of Neuron Death (GO:1901214)	1/58	3.706166e-02	7.106321e-02	0	0	2.913743e+01	9.601284e+01	EIF4G1
GO_Biological_Process_2023	Regulation Of miRNA Transcription (GO:1902893)	1/59	3.768939e-02	7.106321e-02	0	0	2.863362e+01	9.387179e+01	SMARCA4
GO_Biological_Process_2023	Regulation Of Cell Death (GO:0010941)	1/59	3.768939e-02	7.106321e-02	0	0	2.863362e+01	9.387179e+01	EIF4G1
GO_Biological_Process_2023	Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960)	1/59	3.768939e-02	7.106321e-02	0	0	2.863362e+01	9.387179e+01	STAT2
GO_Biological_Process_2023	Negative Regulation Of Autophagy (GO:0010507)	1/61	3.894372e-02	7.287196e-02	0	0	2.767639e+01	8.982753e+01	EIF4G1
GO_Biological_Process_2023	G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	1/63	4.019653e-02	7.409361e-02	0	0	2.678091e+01	8.607318e+01	BRD4
GO_Biological_Process_2023	Phosphatidylinositol Metabolic Process (GO:0046488)	1/63	4.019653e-02	7.409361e-02	0	0	2.678091e+01	8.607318e+01	MBOAT7
GO_Biological_Process_2023	Positive Regulation Of T Cell Differentiation (GO:0045582)	1/64	4.082237e-02	7.414064e-02	0	0	2.635450e+01	8.429552e+01	SMARCA4
GO_Biological_Process_2023	Negative Regulation Of Cell Death (GO:0060548)	1/64	4.082237e-02	7.414064e-02	0	0	2.635450e+01	8.429552e+01	EIF4G1
GO_Biological_Process_2023	Regulation Of Translational Initiation (GO:0006446)	1/65	4.144784e-02	7.472713e-02	0	0	2.594141e+01	8.257978e+01	EIF4G1
GO_Biological_Process_2023	Negative Regulation Of Cellular Catabolic Process (GO:0031330)	1/67	4.269764e-02	7.615689e-02	0	0	2.515278e+01	7.932209e+01	EIF4G1
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription (GO:0045893)	3/1243	4.285752e-02	7.615689e-02	0	0	4.535565e+00	1.428646e+01	STAT2;BRD4;SMARCA4
GO_Biological_Process_2023	Skin Development (GO:0043588)	1/68	4.332198e-02	7.643235e-02	0	0	2.477612e+01	7.777460e+01	ITGA3
GO_Biological_Process_2023	Cell-Cell Junction Assembly (GO:0007043)	1/71	4.519273e-02	7.856296e-02	0	0	2.371071e+01	7.342779e+01	WDR1
GO_Biological_Process_2023	Negative Regulation Of Protein Binding (GO:0032091)	1/71	4.519273e-02	7.856296e-02	0	0	2.371071e+01	7.342779e+01	PTPRF
GO_Biological_Process_2023	Cellular Response To Hypoxia (GO:0071456)	1/72	4.581557e-02	7.856296e-02	0	0	2.337559e+01	7.207001e+01	LMNA
GO_Biological_Process_2023	Negative Regulation Of Cellular Process (GO:0048523)	2/537	4.615305e-02	7.856296e-02	0	0	6.610705e+00	2.033316e+01	LMNA;SMARCA4
GO_Biological_Process_2023	Cellular Response To Decreased Oxygen Levels (GO:0036294)	1/73	4.643803e-02	7.856296e-02	0	0	2.304977e+01	7.075441e+01	LMNA
GO_Biological_Process_2023	Regulation Of Rho Protein Signal Transduction (GO:0035023)	1/73	4.643803e-02	7.856296e-02	0	0	2.304977e+01	7.075441e+01	ITGA3
GO_Biological_Process_2023	Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806)	1/74	4.706011e-02	7.904302e-02	0	0	2.273288e+01	6.947916e+01	SMARCA4
GO_Biological_Process_2023	Regulation Of BMP Signaling Pathway (GO:0030510)	1/75	4.768182e-02	7.904302e-02	0	0	2.242455e+01	6.824250e+01	ITGA3
GO_Biological_Process_2023	Nucleosome Organization (GO:0034728)	1/75	4.768182e-02	7.904302e-02	0	0	2.242455e+01	6.824250e+01	SMARCA4
GO_Biological_Process_2023	Actomyosin Structure Organization (GO:0031032)	1/77	4.892412e-02	8.045931e-02	0	0	2.183224e+01	6.587844e+01	WDR1
GO_Biological_Process_2023	Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	2/557	4.929744e-02	8.045931e-02	0	0	6.365930e+00	1.916070e+01	BRD4;SMARCA4
GO_Biological_Process_2023	Cellular Response To Nutrient Levels (GO:0031669)	1/78	4.954470e-02	8.045931e-02	0	0	2.154762e+01	6.474801e+01	EIF4G1
