ProbeID,log2FC,FDR
11715286_x_at,-0.20382133333333385,0.4016704274016233
11715287_at,-0.08262200000000064,0.22784937090368537
11715288_s_at,-0.03593933333333332,0.8780335853936544
11715289_s_at,0.35550666666666686,0.02139527025683672
11715290_s_at,-0.19335866666666668,0.4238390187502423
11715291_s_at,0.13997633333333326,0.5842270885540958
11715292_at,0.12159366666666704,0.591999119863196
11715293_s_at,-0.531094,0.13056861831192904
11715294_s_at,-0.45330566666666705,0.23211586999093667
11715295_s_at,-0.13163199999999975,0.7485878954261749
11715296_s_at,0.05049899999999852,0.8923355926284213
11715297_at,0.021036666666666815,0.8394956228987643
11715298_x_at,0.163354,0.20843336192033765
11715299_s_at,0.061710000000000154,0.80888358477602
11715300_s_at,-0.14346333333333328,0.5294775602670302
11715301_s_at,0.17863833333333545,0.0902787287401817
11715302_s_at,-0.20312899999999967,0.5046922724997299
11715303_s_at,0.007242333333334017,0.9554656677833778
11715304_s_at,0.30495333333333274,0.20862912593015975
11715305_s_at,0.005438666666666592,0.9851648175493548
11715306_s_at,-0.29295700000000036,0.1556441733551344
11715307_s_at,0.1417989999999998,0.4616286293516892
11715308_s_at,-0.0004486666666672079,0.9984458065301
11715309_s_at,0.07611433333333295,0.5917032454502116
11715310_s_at,0.07870133333333218,0.6554572325924423
11715311_s_at,-0.6208306666666665,0.07921839015047108
11715312_at,0.08068266666666712,0.5630986283842151
11715313_s_at,-0.08033833333333362,0.4589175791512145
11715314_at,0.1175003333333331,0.7703966363270709
11715315_s_at,0.06941666666666624,0.5277008501708628
11715316_x_at,0.1536333333333353,0.06518057143399092
11715317_s_at,0.0467550000000001,0.7858720284361284
11715318_s_at,0.2898246666666666,0.27532948708603316
11715319_s_at,0.017867333333333235,0.857524243324817
11715320_s_at,0.0736356666666671,0.7508552552050002
11715321_x_at,0.2314756666666682,0.4228529839617541
11715322_s_at,-0.20429833333333347,0.38516473382258803
11715323_s_at,0.09599699999999878,0.3142088596564516
11715324_s_at,-0.01771566666666624,0.9070744066944619
11715325_at,-0.22647699999999915,0.14391098033546898
11715326_s_at,0.21642966666666563,0.10561430996885668
11715327_x_at,-0.28887866666666717,0.04044931551309377
11715328_at,0.08278933333333338,0.42836245511169346
11715329_at,-0.3395723333333329,0.034813978631574344
11715330_x_at,-0.09372100000000039,0.5324038279854247
11715331_x_at,-0.19027999999999956,0.09571144292148794
11715332_at,-0.2234653333333334,0.10632409883912106
11715333_s_at,0.10616633333333425,0.264773518565442
11715334_s_at,-0.28228600000000004,0.20748926587145985
11715335_at,0.11921999999999944,0.6467802764482425
11715336_x_at,0.1956560000000005,0.5122662373733904
11715337_s_at,0.26406333333333265,0.24440440890519324
11715338_s_at,0.44979333333333305,0.08871108429122188
11715339_at,-0.13302999999999976,0.5660631805981506
11715340_s_at,-0.3332193333333331,0.31994025874557375
11715341_at,0.031727333333333,0.9261348433536385
11715342_at,-0.02445233333333441,0.7660352186985921
11715343_at,0.06371799999999972,0.8436848914622862
11715344_at,-0.1987500000000022,0.09514044594050117
11715345_s_at,0.07808133333333345,0.735660415184512
11715346_at,0.06988100000000053,0.6257990585258876
11715347_s_at,0.04165799999999997,0.8394925879167442
11715348_x_at,-0.036275666666666595,0.8412781542843027
11715349_a_at,-0.2112033333333354,0.03837605911795717
11715350_a_at,0.36547566666666675,0.2461107047557875
11715351_at,0.14703999999999962,0.15216873115233237
11715352_x_at,0.1583926666666673,0.18432270625100397
11715353_s_at,-0.09258933333333275,0.5889256160573622
11715354_a_at,-0.21583300000000016,0.2502894684183228
11715355_at,0.23969999999999958,0.489168655643681
11715356_x_at,0.045579666666666796,0.8183303743019411
11715357_s_at,-0.04577999999999882,0.48994892797386735
11715358_x_at,0.12207333333333281,0.06861626408836576
11715359_a_at,0.08318399999999926,0.14824368150901776
11715360_x_at,0.1001586666666654,0.3358852297994012
